Frame Cu-O Cu-H Cu-Cu
1.0000000000 2.0213832116 2.6678044244 2.5857965270
2.0000000000 2.0418605341 2.6882456488 2.5854934314
3.0000000000 2.0279176986 2.6531028281 2.5904367423
4.0000000000 2.0286470866 2.7324395554 2.5937161804
5.0000000000 2.0099089204 2.6660836885 2.5885230598
6.0000000000 2.0018278728 2.6906196552 2.5776515810
7.0000000000 2.0448472217 2.6773679073 2.5852065016
8.0000000000 2.0330067814 2.6679721585 2.5903747512
9.0000000000 2.0193694619 2.6586770462 2.5832228979
10.0000000000 2.0443807446 2.7440475868 2.5974500343
11.0000000000 2.0326147664 2.6909452794 2.5976598393
12.0000000000 2.0553023167 2.7033096262 2.5694816643
13.0000000000 2.0235890832 2.6801501832 2.6200334166
14.0000000000 2.0499611250 2.6680351419 2.5790348119
15.0000000000 2.0339428744 2.6974131833 2.5727067557
16.0000000000 1.9989616031 2.6869019764 2.5732457026
17.0000000000 2.0262529251 2.6419654771 2.5847677716
18.0000000000 2.0129391195 2.6591244490 2.5905624899
19.0000000000 2.0196211539 2.6627042049 2.6059969726
20.0000000000 2.0124878918 2.6737259118 2.5892915145
21.0000000000 2.0325517833 2.6913636350 2.5901357121
22.0000000000 2.0121248244 2.7030599069 2.5935845246
23.0000000000 2.0362409096 2.7077888692 2.5954758661
24.0000000000 1.9957759713 2.6899465619 2.5997326544
25.0000000000 2.0237419778 2.6949956153 2.5838253033
26.0000000000 2.0465408108 2.6649566555 2.5942328487
27.0000000000 2.0296463184 2.6867093537 2.5895047247
28.0000000000 2.0409916698 2.6722445039 2.5877701018
29.0000000000 2.0142132403 2.6246757677 2.5904860231
30.0000000000 2.0239108945 2.6900630473 2.5956578592
31.0000000000 2.0313256039 2.6896928422 2.5886670909
32.0000000000 2.0524493847 2.6776478167 2.6026360856
33.0000000000 2.0090861429 2.6707190277 2.5962618558
34.0000000000 2.0227855780 2.7134977000 2.5962459313
35.0000000000 2.0222017585 2.7033744206 2.6076970047
36.0000000000 2.0239769617 2.6847063111 2.5891368634
37.0000000000 2.0411868375 2.6427734429 2.5971692359
38.0000000000 1.9883211302 2.6993715749 2.5929220475
39.0000000000 2.0251549018 2.6760346878 2.5886506468
40.0000000000 2.0194409973 2.7205444007 2.5823236775
41.0000000000 2.0072158664 2.6834655059 2.5766374948
42.0000000000 2.0653536980 2.6518864136 2.5839156252
43.0000000000 2.0092576711 2.6706833178 2.5875396855
44.0000000000 2.0320980938 2.6767002395 2.5797051457
45.0000000000 1.9836003761 2.6910767423 2.5798682880
46.0000000000 2.0159560015 2.6726825205 2.5770444848
47.0000000000 2.0272572800 2.6721768390 2.5942532158
48.0000000000 2.0180505679 2.6848864654 2.5730405199
49.0000000000 2.0529006550 2.6975306077 2.5869853127
50.0000000000 1.9990808782 2.6663534698 2.5765155680
51.0000000000 2.0402653954 2.6628763733 2.5857790207
52.0000000000 2.0463032439 2.6543530270 2.5889204809
53.0000000000 2.0346434973 2.6867768176 2.5766420509
54.0000000000 2.0022388394 2.6636240048 2.5897524718
55.0000000000 2.0413606479 2.7143685511 2.5879775450
56.0000000000 2.0384224785 2.6469658198 2.5919334338
57.0000000000 2.0567091741 2.6459072099 2.5874510196
58.0000000000 2.0314821409 2.6814065073 2.5719130806
59.0000000000 1.9978368607 2.6282316946 2.5780697248
60.0000000000 2.0116077437 2.6690447565 2.5894099679
61.0000000000 2.0394831996 2.6783573515 2.6009951451
62.0000000000 2.0110438441 2.6480237487 2.5982658297
63.0000000000 2.0199254798 2.7060443180 2.5907466083
64.0000000000 2.0429878568 2.7019413441 2.5799612399
65.0000000000 2.0033177427 2.6550881881 2.5813174514
66.0000000000 2.0222939626 2.6154028305 2.5810938697
67.0000000000 2.0450345915 2.6713280636 2.5871422149
68.0000000000 2.0262547017 2.7014456020 2.5795782746
69.0000000000 2.0274019001 2.6744877035 2.5765141508
70.0000000000 2.0354884362 2.6181343491 2.5889522366
71.0000000000 2.0566422411 2.6915460630 2.5995436299
72.0000000000 1.9909131503 2.6851637116 2.5821016475
73.0000000000 2.0343744000 2.7236634729 2.5921459609
74.0000000000 2.0255180365 2.6020567527 2.5753954516
75.0000000000 2.0006327321 2.6826683566 2.5858294033
76.0000000000 1.9919973450 2.6651001054 2.5873706965
77.0000000000 2.0322214933 2.6975374603 2.5887862571
78.0000000000 2.0256300111 2.6768861175 2.5892205384
79.0000000000 2.0026259488 2.6461916861 2.5930051502
80.0000000000 2.0250922404 2.6957597722 2.5906008872
81.0000000000 1.9991211797 2.6945556161 2.5943618996
82.0000000000 2.0149775845 2.7342324075 2.5941528120
83.0000000000 1.9894098119 2.6566939913 2.5847057454
84.0000000000 2.0066378477 2.6502576499 2.5863367316
85.0000000000 2.0165519204 2.6392069362 2.5917341839
86.0000000000 2.0229475615 2.6215395952 2.5787669270
87.0000000000 2.0165079501 2.6725553833 2.5860073862
88.0000000000 2.0249089493 2.7045046819 2.5815402030
89.0000000000 2.0212106237 2.6784010873 2.5817326844
90.0000000000 2.0265602170 2.6935127861 2.5964718686
91.0000000000 2.0099425616 2.6635903336 2.6115220862
92.0000000000 2.0073285035 2.6892640320 2.5793868275
93.0000000000 2.0384503968 2.7535905598 2.5739718701
94.0000000000 2.0114111565 2.6750180155 2.5871839012
95.0000000000 2.0155338144 2.6706157460 2.5863414445
96.0000000000 2.0534417735 2.6591621051 2.5848627404
97.0000000000 2.0033855150 2.6723828580 2.5950137281
98.0000000000 2.0140589826 2.6085019842 2.5813992510
99.0000000000 2.0459855242 2.6941380173 2.5903269738
100.0000000000 2.0186514701 2.6771212775 2.5901967001
101.0000000000 2.0197275534 2.6775123447 2.5848620375
102.0000000000 2.0244203581 2.6651726004 2.5991815326
103.0000000000 2.0331714609 2.6477561179 2.5874544393
104.0000000000 2.0352267441 2.6817504329 2.5743316916
105.0000000000 2.0210688686 2.6277628469 2.5861880042
106.0000000000 2.0487979723 2.7140483865 2.5837298195
107.0000000000 2.0240058216 2.6407162455 2.5909601467
108.0000000000 2.0349984272 2.6471322371 2.5880792725
109.0000000000 2.0537185367 2.6794444382 2.5836618912
110.0000000000 2.0520565804 2.6630202900 2.5974323007
111.0000000000 2.0204565599 2.6608110012 2.6007974965
112.0000000000 2.0295384695 2.6748855317 2.5909795233
113.0000000000 2.0144211275 2.6568387000 2.5890785135
114.0000000000 2.0183638032 2.6655808229 2.5937561674
115.0000000000 2.0115650680 2.6914496382 2.5844946151
116.0000000000 2.0111031085 2.6924990086 2.5834935377
117.0000000000 2.0427500107 2.7382092577 2.5866471175
118.0000000000 2.0403765731 2.7028536943 2.5935389941
119.0000000000 2.0224106099 2.6396916361 2.5806021224
120.0000000000 2.0290663528 2.6578021014 2.6029251978
121.0000000000 2.0285599316 2.6839277356 2.5871651768
122.0000000000 2.0484919737 2.6775917758 2.5827724047
123.0000000000 2.0255896496 2.6986362256 2.5840230781
124.0000000000 2.0113693967 2.6558835873 2.5764411570
125.0000000000 2.0004926417 2.6946213391 2.5888354862
126.0000000000 2.0072005897 2.6864921358 2.5833397490
127.0000000000 2.0131084005 2.6812701024 2.5710709854
128.0000000000 2.0236088147 2.6468695730 2.5819853186
129.0000000000 2.0293429737 2.7257371714 2.6084416425
130.0000000000 2.0224038101 2.6548015631 2.6022480686
131.0000000000 2.0383354504 2.6881277350 2.5894993133
132.0000000000 2.0433997923 2.6640956799 2.5994058364
133.0000000000 2.0252042496 2.6142678118 2.5779970568
134.0000000000 2.0119758005 2.6949743744 2.5657846508
135.0000000000 2.0112298649 2.6769849091 2.5920095236
136.0000000000 2.0118950111 2.6785439511 2.5866017741
137.0000000000 2.0363146113 2.6937942223 2.5881124401
138.0000000000 2.0277585916 2.6482032562 2.5763677383
139.0000000000 2.0226270163 2.6717606205 2.5874345513
140.0000000000 2.0112134100 2.6942262652 2.5767003354
141.0000000000 2.0248397031 2.6974976554 2.5694887907
142.0000000000 2.0213934979 2.7177317296 2.5781302127
143.0000000000 2.0081831889 2.6725371454 2.5849944864
144.0000000000 2.0504681571 2.6958421459 2.5973442346
145.0000000000 2.0309717784 2.7190766101 2.5929017827
146.0000000000 2.0200615259 2.6895216677 2.5739174960
147.0000000000 1.9972086733 2.6836310364 2.5818093160
148.0000000000 2.0001129435 2.6670427841 2.5722263728
149.0000000000 2.0324573039 2.6980933623 2.5870286311
150.0000000000 2.0154630760 2.6408935659 2.5851946283
151.0000000000 2.0139196374 2.6456946113 2.5896064096
152.0000000000 2.0198915458 2.6370767422 2.5856670680
153.0000000000 2.0315155087 2.6597312749 2.5872654119
154.0000000000 2.0062930240 2.6564790884 2.5914673970
155.0000000000 1.9928693233 2.6820596520 2.5858424465
156.0000000000 2.0146508801 2.6460427580 2.6047795921
157.0000000000 2.0212456313 2.6990840655 2.5808755170
158.0000000000 2.0239689448 2.7028137556 2.5890015876
159.0000000000 2.0089568569 2.6900502115 2.5712362534
160.0000000000 2.0453033395 2.6884296540 2.5943534312
161.0000000000 2.0531792622 2.6749833235 2.5887077167
162.0000000000 2.0163722704 2.5807419782 2.5875275522
163.0000000000 2.0260237958 2.6263953572 2.5672295969
164.0000000000 1.9923136422 2.6326233040 2.5997777831
165.0000000000 2.0160946857 2.5763230958 2.5813059446
166.0000000000 2.0234917099 2.6967896786 2.5758130478
167.0000000000 2.0162431939 2.6288993862 2.5685852257
168.0000000000 1.9963207627 2.6677131770 2.5909598912
169.0000000000 2.0046212269 2.6749604221 2.5864424879
170.0000000000 2.0211224661 2.6755115599 2.5835531724
171.0000000000 2.0208865669 2.6552419386 2.5866041911
172.0000000000 2.0024377223 2.6502994094 2.5914002849
173.0000000000 2.0244271373 2.6977311960 2.5954350792
174.0000000000 2.0025642277 2.6505487979 2.5983205686
175.0000000000 2.0240878009 2.6735995738 2.5928589913
176.0000000000 2.0262073754 2.7144676500 2.5734643673
177.0000000000 2.0194562878 2.6535486775 2.5983861494
178.0000000000 2.0349287805 2.6417241386 2.5887597541
179.0000000000 2.0218352946 2.6732710178 2.5931801673
180.0000000000 2.0285551564 2.6719623571 2.5773032985
181.0000000000 2.0196524019 2.6426637030 2.5887772716
182.0000000000 2.0452130295 2.6703926367 2.5966646335
183.0000000000 2.0011818130 2.6776919455 2.5815912019
184.0000000000 2.0320368368 2.6346753245 2.5902562954
185.0000000000 2.0473518985 2.6953784474 2.6059740094
186.0000000000 2.0320790221 2.6608249316 2.5755819086
187.0000000000 2.0297978112 2.7236135493 2.5904681187
188.0000000000 2.0215885501 2.6292269921 2.5717955265
189.0000000000 2.0132178103 2.6124133583 2.5993651231
190.0000000000 2.0423587927 2.6551031923 2.5850479481
191.0000000000 1.9967455030 2.6777751837 2.5678787425
192.0000000000 2.0482452550 2.6799408252 2.5829765785
193.0000000000 2.0162396474 2.6612506359 2.6060543644
194.0000000000 2.0168735283 2.6758273732 2.5794405226
195.0000000000 2.0175912765 2.6215299311 2.5865136393
196.0000000000 2.0114804916 2.6888537555 2.5880795423
197.0000000000 2.0293823131 2.6551006217 2.6030790530
198.0000000000 2.0003800916 2.7003391307 2.6050540986
199.0000000000 2.0399946664 2.6404760314 2.5837685667
200.0000000000 2.0106966443 2.7125572377 2.5835638475
201.0000000000 2.0155217830 2.6905900877 2.5974325472
202.0000000000 2.0239549820 2.6814727935 2.5945612414
203.0000000000 1.9984470460 2.7444993130 2.5957421191
204.0000000000 2.0595633286 2.6775709557 2.5805098392
205.0000000000 2.0403599490 2.6763492519 2.5810364836
206.0000000000 2.0090933798 2.7392728212 2.5913068958
207.0000000000 2.0032924009 2.6728357443 2.5842772196
208.0000000000 2.0417997934 2.6624568689 2.5972114304
209.0000000000 2.0532723790 2.7473251264 2.5863541242
210.0000000000 2.0148786787 2.6614324218 2.5868193556
211.0000000000 2.0347569372 2.6753578957 2.5968453920
212.0000000000 2.0578124085 2.6301822623 2.5817330387
213.0000000000 2.0396316300 2.6858626455 2.5899141583
214.0000000000 2.0618690377 2.7084501706 2.6068111548
215.0000000000 2.0431463326 2.7250701808 2.5825686273
216.0000000000 2.0220749402 2.7116279979 2.5865401093
217.0000000000 2.0082766609 2.6728137190 2.6112777127
218.0000000000 2.0116202983 2.6573980197 2.5883215682
219.0000000000 2.0105847085 2.6833202922 2.5989984762
220.0000000000 2.0226194613 2.7155661119 2.5817967990
221.0000000000 2.0297011739 2.7110682279 2.5893489521
222.0000000000 2.0392945814 2.6924014431 2.5744446164
223.0000000000 2.0337093793 2.6947871876 2.6022372141
224.0000000000 2.0139258928 2.7258162261 2.5954013871
225.0000000000 2.0411119170 2.6868420262 2.5976532493
226.0000000000 2.0218598902 2.6660677212 2.5963359568
227.0000000000 2.0345599955 2.7106117467 2.5891506259
228.0000000000 2.0101267969 2.6479990970 2.5829541902
229.0000000000 2.0352967449 2.6605364411 2.5891367075
230.0000000000 2.0400855648 2.6755949324 2.6027302014
231.0000000000 2.0509642359 2.6885807672 2.5845066208
232.0000000000 2.0152038449 2.7564653276 2.5839130741
233.0000000000 2.0707603185 2.6913619392 2.5948652592
234.0000000000 2.0358461811 2.6821057838 2.5908847914
235.0000000000 2.0155628084 2.7055556628 2.5928009353
236.0000000000 2.0263248290 2.6406306338 2.5821146701
237.0000000000 2.0114797529 2.7039560567 2.6063021530
238.0000000000 2.0388058075 2.7193141047 2.5997099442
239.0000000000 2.0354053122 2.6718590623 2.5880967150
240.0000000000 2.0182047056 2.7010468345 2.6040277382
241.0000000000 2.0342952041 2.6796829812 2.5931666931
242.0000000000 2.0397767198 2.6543290563 2.5957097703
243.0000000000 1.9990954134 2.6958366227 2.5942049061
244.0000000000 2.0184051539 2.6635218350 2.5863274981
245.0000000000 2.0391656245 2.6160461675 2.5894453482
246.0000000000 2.0104418724 2.7017283984 2.6002828375
247.0000000000 2.0291729886 2.6872714751 2.5987527607
248.0000000000 2.0146967291 2.6761265784 2.5839819327
249.0000000000 2.0238468010 2.6885455593 2.5887379948
250.0000000000 2.0239171223 2.6061034560 2.6002832822
251.0000000000 2.0534545110 2.6517957242 2.5841315464
252.0000000000 2.0206951064 2.6905570866 2.5799583680
253.0000000000 2.0092097729 2.6673134606 2.5951339055
254.0000000000 2.0301812441 2.6520430551 2.5818427672
255.0000000000 2.0267380550 2.6601962183 2.5906371863
256.0000000000 2.0465624676 2.6302182190 2.5897375446
257.0000000000 2.0582940621 2.6857362074 2.5983917343
258.0000000000 2.0194713107 2.6916873844 2.5900147009
259.0000000000 2.0450516268 2.6654358007 2.5939694048
260.0000000000 2.0235113141 2.6575749316 2.5954893165
261.0000000000 2.0219147370 2.6475187425 2.5899309516
262.0000000000 2.0189868059 2.6936557097 2.5782862949
263.0000000000 2.0431087163 2.7004367894 2.5792907166
264.0000000000 2.0213932736 2.7182189054 2.5769995596
265.0000000000 2.0349112909 2.6720881001 2.5848471718
266.0000000000 2.0540304800 2.6816717673 2.5808072197
267.0000000000 2.0480042323 2.6748977997 2.5885758036
268.0000000000 1.9975829700 2.7076266239 2.5954689426
269.0000000000 2.0107525564 2.6816574297 2.5843557740
270.0000000000 2.0872780940 2.6956741352 2.5850326427
271.0000000000 2.0320939000 2.6594771098 2.5819940945
272.0000000000 2.0222519097 2.7062135530 2.5868361005
273.0000000000 2.0192842958 2.6742297487 2.5871887739
274.0000000000 2.0142883356 2.6908399084 2.5857038118
275.0000000000 1.9945523709 2.6800529489 2.5888168459
276.0000000000 2.0159353323 2.6622849488 2.5917376275
277.0000000000 2.0214505272 2.6506489709 2.5908678666
278.0000000000 2.0352389168 2.6471290898 2.5773198701
279.0000000000 2.0251307831 2.5968289613 2.5846505587
280.0000000000 2.0294288861 2.6730726536 2.5850168646
281.0000000000 2.0231212612 2.7035171101 2.6033053797
282.0000000000 2.0380657101 2.6807169778 2.5798095519
283.0000000000 2.0360319550 2.6737637910 2.6008320437
284.0000000000 2.0015201636 2.6356762974 2.5906047904
285.0000000000 2.0265043602 2.6773471643 2.5891768898
286.0000000000 2.0267190892 2.6724900925 2.5843223973
287.0000000000 2.0406530883 2.7140192146 2.5914448572
288.0000000000 2.0440872303 2.7279878562 2.5898553320
289.0000000000 2.0624891718 2.6847566004 2.5928364780
290.0000000000 2.0277570646 2.6836992988 2.5931331427
291.0000000000 2.0352955112 2.6989541095 2.5844600799
292.0000000000 2.0078764248 2.6624014449 2.5831853140
293.0000000000 2.0002802596 2.6530413965 2.5809710156
294.0000000000 2.0031686300 2.6959999091 2.5871952929
295.0000000000 2.0335586717 2.6532797336 2.5872925417
296.0000000000 2.0031290147 2.7025224014 2.6000811056
297.0000000000 2.0137862488 2.6583254837 2.5821920444
298.0000000000 2.0409956048 2.6414643851 2.6131355939
299.0000000000 2.0275337181 2.6490437455 2.5927966478
300.0000000000 2.0344548518 2.6653863203 2.5759155713
301.0000000000 2.0439735397 2.7300069920 2.5961456369
302.0000000000 2.0656643236 2.6570364554 2.5956770964
303.0000000000 2.0605973885 2.7157461025 2.5869564465
304.0000000000 2.0242982399 2.7157569028 2.5871863474
305.0000000000 2.0018058476 2.7095047966 2.5832381153
306.0000000000 2.0023024679 2.7013059528 2.5831625830
307.0000000000 2.0276539731 2.6914180484 2.5806305882
308.0000000000 1.9878331797 2.6971882299 2.5966667081
309.0000000000 2.0089114380 2.6937120730 2.5883752007
310.0000000000 2.0416096499 2.6996489048 2.5972394914
311.0000000000 2.0384958046 2.6649119496 2.5976522675
312.0000000000 2.0301893818 2.7203589594 2.5805075138
313.0000000000 2.0186245114 2.6939005918 2.5964044148
314.0000000000 2.0111178494 2.6775825636 2.5993908896
315.0000000000 2.0431858812 2.6377914669 2.6009179212
316.0000000000 2.0213897821 2.6677790215 2.5953623762
317.0000000000 2.0429901690 2.6506958906 2.5909007683
318.0000000000 2.0019761428 2.6920396979 2.5902623393
319.0000000000 2.0286511872 2.7337417311 2.5858271884
320.0000000000 2.0265142214 2.6635201007 2.5915544088
321.0000000000 2.0268759773 2.7035941277 2.6161219727
322.0000000000 2.0224664709 2.6819694770 2.5846468327
323.0000000000 2.0204351953 2.6784620658 2.5857238254
324.0000000000 2.0050381007 2.6879199902 2.5782893882
325.0000000000 2.0156248180 2.7269384194 2.5888943713
326.0000000000 2.0359768045 2.7112665184 2.5816630098
327.0000000000 2.0146611133 2.7564421154 2.5806406210
328.0000000000 2.0266657305 2.7303924625 2.5932250465
329.0000000000 1.9952081393 2.6876149716 2.5864837435
330.0000000000 2.0358332668 2.6644253853 2.5946429270
331.0000000000 2.0873914446 2.7070154335 2.6073749959
332.0000000000 2.0201574091 2.7020181145 2.5819357654
333.0000000000 2.0296456291 2.7183116260 2.5713013770
334.0000000000 2.0561464019 2.7189111323 2.5931971641
335.0000000000 2.0227434813 2.6840618519 2.5909519340
336.0000000000 2.0217391370 2.6477161198 2.5928019712
337.0000000000 2.0309386981 2.6815275203 2.5954387023
338.0000000000 2.0120213811 2.5892219252 2.6076267861
339.0000000000 2.0098889056 2.6787524841 2.6106342408
340.0000000000 2.0266947875 2.6743325094 2.5929885691
341.0000000000 2.0029425997 2.7084858510 2.6002086865
342.0000000000 2.0033542450 2.6740335199 2.6075414926
343.0000000000 2.0170051813 2.6619303096 2.5763244697
344.0000000000 2.0213257016 2.6295394965 2.5901049327
345.0000000000 2.0175314072 2.6889731013 2.5839047722
346.0000000000 2.0263600421 2.6749930586 2.5870725709
347.0000000000 2.0236353516 2.7035089836 2.6036996985
348.0000000000 2.0525881887 2.7329216038 2.5815958220
349.0000000000 2.0347770442 2.7186881363 2.5961007112
350.0000000000 1.9906765816 2.7094535846 2.6045991204
351.0000000000 2.0702412135 2.7298113756 2.6021433133
352.0000000000 2.0362209612 2.6813510261 2.5863071473
353.0000000000 2.0341810500 2.6542051141 2.5916262701
354.0000000000 2.0241767388 2.6850440197 2.5945975566
355.0000000000 2.0578820759 2.6497637553 2.6057307798
356.0000000000 1.9972792117 2.6711428415 2.5780305253
357.0000000000 2.0582466667 2.7154291106 2.6006846734
358.0000000000 2.0329774358 2.7299361650 2.6003423581
359.0000000000 2.0037127657 2.6686849617 2.5914399738
360.0000000000 2.0468211675 2.5929296508 2.5890634526
361.0000000000 2.0112687491 2.6826848236 2.6015085841
362.0000000000 1.9945511380 2.6405292782 2.5936671086
363.0000000000 2.0091141816 2.6587054671 2.5927421017
364.0000000000 2.0335293363 2.6521417316 2.5931105261
365.0000000000 2.0489164688 2.6638242916 2.5817883696
366.0000000000 2.0236782940 2.6963622379 2.5966680821
367.0000000000 2.0324311369 2.6725201213 2.6031400689
368.0000000000 2.0203145674 2.6940499801 2.5999135686
369.0000000000 2.0451297532 2.6911815101 2.5864115275
370.0000000000 2.0444683182 2.7128657365 2.5972839772
371.0000000000 2.0071500385 2.6530651311 2.5951422883
372.0000000000 2.0329371504 2.6689476063 2.5823112170
373.0000000000 2.0236823715 2.6686864659 2.5922810675
374.0000000000 2.0014175479 2.6384732401 2.5891117459
375.0000000000 2.0506306660 2.6977128632 2.5937778036
376.0000000000 2.0257209883 2.6323577978 2.5760262793
377.0000000000 2.0481417254 2.7162753400 2.6014994553
378.0000000000 2.0323806356 2.6970438741 2.6001687651
379.0000000000 2.0238976836 2.6589917643 2.5840513389
380.0000000000 2.0476614781 2.6948949526 2.5888263964
381.0000000000 2.0527894029 2.7030089291 2.5903492544
382.0000000000 2.0308425579 2.6974605550 2.5842194379
383.0000000000 2.0079412237 2.6999694695 2.5720009500
384.0000000000 2.0099480478 2.6907469772 2.6006176305
385.0000000000 2.0404080105 2.6858596461 2.5815783318
386.0000000000 2.0548515186 2.6731396766 2.5882358268
387.0000000000 2.0300707532 2.6933693859 2.5915521348
388.0000000000 2.0392527352 2.6491350343 2.5956056723
389.0000000000 2.0481187321 2.6866697102 2.5936948924
390.0000000000 2.0272625655 2.6657179069 2.5793388069
391.0000000000 2.0537565568 2.6892337600 2.5990302771
392.0000000000 2.0416376305 2.6666600700 2.5792156081
393.0000000000 2.0228261235 2.6949822801 2.5799078256
394.0000000000 2.0504773301 2.6950381696 2.5836240947
395.0000000000 2.0194987565 2.6999267724 2.5947779508
396.0000000000 2.0205547603 2.6404543355 2.5834077917
397.0000000000 1.9960587300 2.6900130209 2.5868353434
398.0000000000 2.0306762833 2.7068650481 2.6050620082
399.0000000000 1.9940360315 2.6441132420 2.5943403522
400.0000000000 2.0375283000 2.6881495964 2.5980165564
401.0000000000 1.9984401730 2.6329154690 2.5934255422
402.0000000000 2.0180612854 2.6774333664 2.5967076228
403.0000000000 2.0052274346 2.6002798599 2.5847919332
404.0000000000 2.0255377711 2.6839265909 2.5978696527
405.0000000000 2.0014126121 2.6638534922 2.5995413051
406.0000000000 2.0128251563 2.6864098405 2.6046893122
407.0000000000 2.0258561940 2.7117395685 2.5927893498
408.0000000000 2.0131082658 2.6761878178 2.5966949169
409.0000000000 2.0238202254 2.6783070369 2.6038056788
410.0000000000 2.0211221992 2.6396952046 2.6028858066
411.0000000000 2.0636913733 2.6893557962 2.5882730141
412.0000000000 2.0266007127 2.6264896577 2.5968836216
413.0000000000 2.0182702804 2.6198359049 2.5977740085
414.0000000000 2.0191385388 2.7011828535 2.5761337583
415.0000000000 1.9950571120 2.7204087687 2.5835499756
416.0000000000 2.0231542060 2.6566651686 2.5852486734
417.0000000000 2.0079318936 2.6590694759 2.5982604074
418.0000000000 2.0340064023 2.7043471032 2.5874632580
419.0000000000 2.0075490724 2.6928256850 2.5888092702
420.0000000000 2.0345937902 2.7018601600 2.5938458104
421.0000000000 2.0322954031 2.7063009249 2.5954698723
422.0000000000 2.0204388645 2.6692543095 2.5795279390
423.0000000000 1.9934333199 2.6588850234 2.5958578466
424.0000000000 2.0400796263 2.6577822042 2.5844273536
425.0000000000 2.0200007289 2.6987076073 2.6007478522
426.0000000000 2.0661528440 2.6773597664 2.5964720534
